cell_id,class,model,seed,raw_perimeter,closing_perimeter,null_perimeter,delta_perimeter_closing,delta_perimeter_null,delta_area_closing,delta_area_null,abs_delta_area_closing_minus_null,closing_fallback_to_raw,null_target_reduction,null_achieved_reduction,null_matching_error_abs,null_matching_error_pct,null_raw_fallback,null_within_tolerance
157227461-157227503-003,normal_columnar,nc_aware_lambda_0p10,20260803,184.6101714372635,184.02438497543335,183.78174436092377,-0.5857864618301392,-0.8284270763397217,1,-1,2,False,0.5857864618301392,0.8284270763397217,0.24264061450958252,0.4142134213063141,False,False
157266930-157266947-001,normal_columnar,nc_aware_lambda_0p10,20260803,190.26702547073364,189.6812388896942,189.68123865127563,-0.5857865810394287,-0.5857868194580078,1,-2,3,False,0.5857865810394287,0.5857868194580078,2.384185791015625e-07,4.070058735017605e-07,False,True
157268504-157268544-001,normal_superficiel,nc_aware_lambda_0p10,20260803,109.89949476718903,105.79898953437805,107.69848418235779,-4.100505232810974,-2.201010584831238,10,-47,57,False,4.100505232810974,2.201010584831238,1.8994946479797363,0.46323429434513774,False,False
158986766-158986776-001,normal_columnar,nc_aware_lambda_0p10,20260803,191.78174459934235,190.61017167568207,190.61017167568207,-1.1715729236602783,-1.1715729236602783,2,-2,4,False,1.1715729236602783,1.1715729236602783,0.0,0.0,False,True
158986813-158986820-001,normal_columnar,nc_aware_lambda_0p10,20260803,139.39696836471558,139.39696836471558,139.39696836471558,0.0,0.0,0,0,0,False,0.0,0.0,0.0,0.0,False,True
158986920-158986928-004,normal_columnar,nc_aware_lambda_0p10,20260803,nan,nan,nan,nan,nan,0,0,0,True,0.0,0.0,0.0,0.0,False,True
204870858-204870872-001,light_dysplastic,nc_aware_lambda_0p10,20260803,214.46803617477417,209.78174424171448,211.7817441225052,-4.686291933059692,-2.686292052268982,8,-42,50,False,4.686291933059692,2.686292052268982,1.9999998807907104,0.42677663051283815,False,False
204870951-204870961-002,light_dysplastic,nc_aware_lambda_0p10,20260803,482.59292674064636,444.27416574954987,467.7716383934021,-38.3187609910965,-14.821288347244263,70,-287,357,False,38.3187609910965,14.821288347244263,23.497472643852234,0.6132106580719549,False,False
204871030-204871038-001,light_dysplastic,nc_aware_lambda_0p10,20260803,391.9655101299286,372.0487710237503,385.2447271347046,-19.916739106178284,-6.720782995223999,34,-225,259,False,19.916739106178284,6.720782995223999,13.195956110954285,0.662556056019272,False,False
204871030-204871038-002,light_dysplastic,nc_aware_lambda_0p10,20260803,464.8944424390793,430.91882622241974,456.80107724666595,-33.975616216659546,-8.09336519241333,58,-259,317,False,33.975616216659546,8.09336519241333,25.882251024246216,0.7617890094824875,False,False
209047342-209047443-001,normal_superficiel,nc_aware_lambda_0p10,20260803,430.71067690849304,401.4213538169861,425.203097820282,-29.289323091506958,-5.50757908821106,76,-401,477,False,29.289323091506958,5.50757908821106,23.7817440032959,0.811959495581238,False,False
209047526-209047626-001,normal_intermediate,nc_aware_lambda_0p10,20260803,415.8822498321533,387.76449966430664,411.9310190677643,-28.11775016784668,-3.951230764389038,81,-514,595,False,28.11775016784668,3.951230764389038,24.16651940345764,0.8594755718077556,False,False
209047526-209047798-001,normal_superficiel,nc_aware_lambda_0p10,20260803,764.9360725879669,707.0437180995941,760.2224297523499,-57.8923544883728,-4.713642835617065,109,-474,583,False,57.8923544883728,4.713642835617065,53.17871165275574,0.9185791823933546,False,False
209307421-209307504-001,normal_intermediate,nc_aware_lambda_0p10,20260803,231.9827550649643,214.1665199995041,226.20814990997314,-17.816235065460205,-5.77460515499115,89,-465,554,False,17.816235065460205,5.77460515499115,12.041629910469055,0.6758796045419158,False,False
